recipe_name,ingredient_text,number_of_servings,calories,protein,protein_density,num_vegetable_servings,ingredient_embedding,target
Sweet Potato Oven Fries,cayenne coconut oil corn starch salt sucanat sweet potatoes taco seasoning,6,272,4,0.0147058823529411,1,"[-0.14578418 -0.39821    -0.54592692  0.41526503  0.38645264  0.12091773
 -0.24844146 -0.0189631   0.11714182  0.25316764  0.06721818  0.12376955
  0.96718927 -0.41009001  0.03214728  0.17379927 -0.02616509  0.44606728
 -0.10375636 -0.72461273  0.12547455 -0.51579355  1.11951911 -0.02766946
 -0.43946192 -0.073616    0.125289    0.74224636  1.2458809   0.03171637
  1.43620272 -0.28463428 -0.40361218  0.99345747  0.24478691  0.03963609
 -0.82923726  0.59190382  0.92009182 -0.162372    0.46263791  0.07670045
 -0.15081436 -0.26604727  0.73926728  0.99862545 -0.08431455  0.07899269
 -0.16035127  0.02846364]",1.0294117647058822
Garlic & Spice Plantain Chips,plantains olive oil garlic powder paprika cumin cayenne pepper salt,8,88,1,0.0113636363636363,1,"[-2.2030100e-01  1.8852599e-01 -4.2624703e-01  4.1032642e-01
  5.5236191e-01  2.1522000e-01  1.7561631e-01  1.8557449e-01
 -2.3748851e-01  3.3737712e-03 -2.8682012e-02  8.5105099e-02
  9.9648726e-01 -4.7580022e-01 -2.2345240e-01 -2.5411642e-01
 -4.2699099e-02  5.6388795e-01 -4.7060394e-01 -7.6862895e-01
 -1.0422945e-03 -3.9427391e-01  1.6698611e+00  5.2522101e-02
 -8.6449736e-01 -1.4622800e-01  6.2450206e-01  9.7559202e-01
  1.4619070e+00 -7.7431992e-02  1.1027830e+00 -1.6874039e-01
 -5.7733703e-01  5.8290958e-01  1.4876291e-01  1.7703979e-01
 -1.2082479e+00  5.1925617e-01  9.5023000e-01 -1.9853520e-01
  1.1480089e+00  7.4333802e-02  3.1673738e-01 -6.5356100e-01
  1.0223138e+00  1.1156770e+00 -2.6917800e-02  7.8368559e-02
 -3.0732930e-01 -1.3085698e-01]",1.0227272727272727
Kohlrabi Fries with Curry Ketchup,kohlrabi oil ground paprika curry powder salt and pepper tomato paste water apple vinegar favorite curry powder sugar mustard garlic powder soy sauce paprika powder chili flakes,2,149,4,0.0268456375838926,2,"[-0.30090517  0.12233438 -0.41908562  0.45294553  0.34718776  0.28234628
 -0.05855693  0.02136644 -0.0939043   0.2161851   0.03183955  0.14585632
  0.860014   -0.24610125 -0.03032032 -0.00665718 -0.09775166  0.45283332
 -0.431921   -0.7315522   0.11158022 -0.32048756  1.6650777   0.09951415
 -0.65264064 -0.3302347   0.21482241  0.85077995  1.1877385  -0.15393707
  1.4901406  -0.26094267 -0.52177954  0.5554194   0.3505419   0.21128415
 -0.82026947  0.62049747  1.0045277  -0.16007768  0.76749426  0.11328592
  0.05591552 -0.3468741   0.9676647   0.9204852   0.07998525 -0.02432586
 -0.00323289 -0.07324525]",2.053691275167785
Crispy Zucchini Fries,zucchinis coconut flour onion powder salt,6,120,5,0.0416666666666666,1,"[-2.8558323e-01  3.1370667e-01 -1.8382500e-01  2.9411396e-01
  2.8740835e-01  3.1590798e-01  8.5216109e-04 -2.1893164e-02
 -1.2923168e-01 -6.8631545e-02 -3.2404500e-01 -2.0839015e-02
  1.0698416e+00 -2.0206700e-01 -1.8581985e-01  7.7691168e-02
  7.7436499e-02  6.2952167e-01 -1.9621666e-01 -6.5112495e-01
  3.0052337e-01 -5.5744147e-01  1.7978916e+00  7.1031176e-02
 -6.9673663e-01  2.2148763e-01  2.3408717e-01  1.0988051e+00
  1.2543100e+00 -2.3119168e-01  1.1392666e+00 -3.0346835e-01
 -4.2018500e-01  8.0330938e-01  1.7325133e-01  3.9854667e-01
 -8.2722664e-01  6.9618338e-01  1.0150967e+00 -1.6406987e-02
  6.3425213e-01 -1.8380666e-01 -2.5399005e-02 -1.2938167e-01
  6.3018996e-01  9.3794340e-01 -1.1053165e-01 -7.5929888e-02
 -5.4955006e-02 -4.8112264e-01]",1.0833333333333333
Buttered Plantain Fries and Seasoned Avocado,avocado butter chili pepper garlic onions to garnish plantain salt vegetable oil,3,555,3,0.0054054054054054,5,"[-0.11504141 -0.10176715 -0.5718176   0.28838667  0.6875541   0.27814433
  0.0992767   0.13257666 -0.3411925  -0.00926101 -0.2992455   0.25330082
  1.033255   -0.06731191  0.01609017 -0.12281991  0.10147592  0.37550643
 -0.09176917 -0.87242246  0.2900288  -0.8839933   1.3704867   0.07560199
 -0.6352663  -0.1802395   0.53870946  0.8669576   1.179655   -0.26555339
  1.6498326  -0.11412332 -0.3564527   0.802021    0.06809787  0.39421085
 -0.97844666  0.6775337   1.0392884  -0.28585887  0.50647205  0.19463933
 -0.0318235  -0.5156514   0.9733799   1.1383591  -0.00503958 -0.10043528
 -0.15665682 -0.03788907]",5.010810810810811
Baked Sweet Potato Fries,margarine nutmeg t seasoned salt smalls sweet potatoes,1,496,7,0.0141129032258064,1,"[-0.29117864  0.2404291  -0.36112627  0.20834754  0.49521872  0.389684
  0.06275538  0.11191252 -0.4203254   0.05272499 -0.15313032  0.39467
  0.452685   -0.207154   -0.15084653  0.12489225  0.2361875   0.4718275
 -0.1203205  -0.5848775   0.13580221 -0.16456112  1.3193849   0.11129921
 -0.64574635 -0.10545251 -0.06588339  0.6094575   1.0177755  -0.08571099
  1.1582224   0.00777786 -0.14797875  0.8167628   0.19379751  0.0441025
 -0.76456976  0.34850377  0.8827225  -0.46707273  0.63336676 -0.08901475
 -0.10037725 -0.05093     0.8703825   0.6029387  -0.09017502 -0.04184693
 -0.13064274  0.13226487]",1.0282258064516128
Crispy Baked Green Bean Fries,almond meal black pepper cayenne pepper eggs fresh green beans garlic powder onion powder,2,1355,64,0.0472324723247232,1,"[-0.15096357  0.17708585 -0.46198717  0.11447905  0.65065557  0.4074715
 -0.23160645 -0.17326614 -0.20434757 -0.04764768 -0.27128342 -0.04751472
  0.95366436 -0.13196793 -0.00219215 -0.09224651 -0.06659728  0.41127828
 -0.50557625 -0.9010572   0.00348014 -0.26940683  1.5921385   0.08964801
 -0.75308084 -0.25471064  0.3066891   1.0166178   1.1360263  -0.23599207
  1.6815494  -0.19493029 -0.67452     0.6334399   0.2129235   0.33361912
 -0.8085514   0.42106518  0.9111938  -0.4306249   0.7515723   0.08672249
 -0.11394671 -0.34144646  1.144208    0.8832782   0.15002277 -0.20136435
 -0.07083619 -0.12488001]",1.0944649446494463
Baked Sweet Chili Carrot Fries,carrots olive oil salt agave nectar paprika onion powder garlic powder chili powder bell pepper,4,151,2,0.0132450331125827,1,"[-7.1182080e-02  4.0654528e-01 -3.6907390e-01  2.8174755e-01
  4.7237131e-01  3.3310196e-01 -5.5924635e-03 -3.8648006e-02
 -1.1446794e-01  2.6131946e-01 -6.2291358e-02  1.4352386e-01
  1.0417386e+00 -2.0372720e-01 -1.5283047e-01 -7.6224200e-02
 -8.8008665e-02  5.2631003e-01 -6.3868260e-01 -7.1338671e-01
  6.1899737e-02 -4.2850059e-01  1.7400253e+00 -1.2331366e-03
 -8.1070369e-01 -1.8684493e-01  4.1284931e-01  1.0764599e+00
  1.0782611e+00 -3.1433535e-01  1.3234814e+00 -2.3815013e-01
 -4.2109728e-01  6.0439098e-01  2.9299599e-01  9.0024062e-02
 -8.0831325e-01  4.1379669e-01  1.0418932e+00 -1.5583614e-01
  8.3181399e-01 -5.7847675e-02  1.1070414e-01 -3.0049279e-01
  1.0407046e+00  9.4311333e-01 -4.4489340e-03 -2.7419956e-02
 -8.2693949e-02 -2.6162419e-01]",1.0264900662251655
Crab and Shrimp Burgers With Garlic Grits Fries,shrimp crab meat juice of lemon tabasco sauce dijon mustard mayonnaise jalapeno onion parsley pepper kosher salt panko crumbs egg bread crumbs seafood seasoning butter grits water milk kosher salt mozzarella cheese garlic,8,368,24,0.0652173913043478,3,"[-0.23208678 -0.10806593 -0.89309627  0.0926604   0.50853795  0.44100192
 -0.01097002  0.17411882 -0.09422544 -0.00840622 -0.13707954  0.21947883
  1.1211267  -0.03395738  0.00694878 -0.12510228  0.15291844  0.4445146
 -0.19080673 -0.6540197   0.26006272 -0.6363824   1.4181886   0.26209396
 -0.6451824  -0.20027295  0.12469355  0.91699314  1.2087066  -0.2726713
  1.29867    -0.06074816 -0.4218831   1.0426917  -0.03643357  0.3328939
 -0.7699437   0.7753901   1.102743   -0.29281902  0.889013   -0.06634564
  0.02095732 -0.13322753  0.8576424   1.1766982  -0.04938259  0.18892308
 -0.09037405 -0.05644254]",3.130434782608696
Country Breakfast: Tofu and Veggie Scramble With Home Fries,tofu and veggie scramble mori-nu tofu olive oil mushrooms asparagus onions garlic clove seasonings tumeric garlic powder cayenne pepper pepper water home fries potatoes pepper salt olive oil,2,493,30,0.0608519269776876,5,"[ 3.00474971e-02 -1.75709396e-01 -5.26563603e-01  7.17100393e-02
  4.64203532e-01  1.79065852e-01  1.20857531e-04 -3.60984974e-02
 -1.43440550e-01  2.03157369e-02 -2.15195718e-01  3.22436928e-01
  8.00825745e-01 -1.12675075e-01 -5.50404955e-02 -2.20766442e-02
  1.34622069e-01  2.73724658e-01 -3.22515912e-01 -6.79637147e-01
  2.90623858e-01 -4.03191467e-01  1.22897590e+00  3.31583196e-02
 -5.85602712e-01 -2.72686783e-01  4.46277070e-01  7.43084298e-01
  9.99304609e-01 -2.62475703e-01  1.38939999e+00 -1.53868204e-02
 -3.14047466e-01  6.95195040e-01  1.16072185e-02  3.13102036e-01
 -8.98425354e-01  5.25215791e-01  8.28089792e-01 -3.07288001e-01
  6.62840962e-01  1.62109425e-01  2.12411821e-01 -2.72932862e-01
  8.59386707e-01  9.28394214e-01  7.72799948e-02 -1.19460617e-01
 -1.45931897e-01 -8.42111779e-02]",5.121703853955375
